Attribute,Attribute type,Acceptable values
Amenities: Spa (has_spa),Yes/no,"Yes, No"
Amenities: Stadium seating (has_stadium_seating),Yes/no,"Yes, No"
Amenities: Swimming pool (has_swimming_pool),Yes/no,"Yes, No"
Amenities: Swimming pool (swimming_pool_offerings): Indoor (indoor_pool),Yes/no,"Yes, No"
Amenities: Swimming pool (swimming_pool_offerings): Outdoor (outdoor_pool),Yes/no,"Yes, No"
Amenities: Swings (has_playground_swings),Yes/no,"Yes, No"
Amenities: Tent sites (has_tent_site),Yes/no,"Yes, No"
Amenities: Towels (has_towels),Yes/no,"Yes, No"
Amenities: Volleyball court (has_volleyball_court),Yes/no,"Yes, No"
Atmosphere: Shower (has_shower),Yes/no,"Yes, No"
Children: Discounts for kids (has_discounts_for_kids),Yes/no,"Yes, No"
Children: Family discount (has_discounts_for_families),Yes/no,"Yes, No"
Children: Good for kids (welcomes_children),Yes/no,"Yes, No"
Children: Has changing table(s) (has_changing_tables),Yes/no,"Yes, No"
Children: High chairs (has_high_chairs),Yes/no,"Yes, No"
Children: Kid-friendly activities (has_kid_friendly_activities),Yes/no,"Yes, No"
Children: Kids' menu (has_childrens_menu),Yes/no,"Yes, No"
Children: Nursing room (has_lactation_space),Yes/no,"Yes, No"
Children: Playground (has_area_play),Yes/no,"Yes, No"
Crowd: Family-friendly (welcomes_families),Yes/no,"Yes, No"
Crowd: LGBTQ+ friendly (welcomes_lgbtq),Yes/no,"Yes, No"
Crowd: Transgender safespace (is_transgender_safespace),Yes/no,"Yes, No"
Deities Represented: Brahma (has_deity_brahma_represented),Yes/no,"Yes, No"
Deities Represented: Durga (has_deity_durga_represented),Yes/no,"Yes, No"
Deities Represented: Hanuman (has_deity_hanuman_represented),Yes/no,"Yes, No"
Deities Represented: Krishna (has_deity_krishna_represented),Yes/no,"Yes, No"
Deities Represented: Lakshmi (has_deity_lakshmi_represented),Yes/no,"Yes, No"
Deities Represented: Mahavira (has_deity_mahavira_represented),Yes/no,"Yes, No"
Deities Represented: Neminatha (has_deity_neminatha_represented),Yes/no,"Yes, No"
Deities Represented: Parshvanatha (has_deity_parshvanatha_represented),Yes/no,"Yes, No"
Deities Represented: Rama (has_deity_rama_represented),Yes/no,"Yes, No"
Deities Represented: Rishabhanatha (has_deity_rishabhanatha_represented),Yes/no,"Yes, No"
Deities Represented: Sai Baba (has_deity_sai_baba_represented),Yes/no,"Yes, No"
Deities Represented: Shiva (has_deity_shiva_represented),Yes/no,"Yes, No"
Deities Represented: Vishnu (has_deity_vishnu_represented),Yes/no,"Yes, No"
Dining options: Breakfast (serves_breakfast),Yes/no,"Yes, No"
Dining options: Brunch (serves_brunch),Yes/no,"Yes, No"
Dining options: Catering (has_catering),Yes/no,"Yes, No"
Dining options: Counter service (has_counter_service),Yes/no,"Yes, No"
Dining options: Dessert (serves_dessert),Yes/no,"Yes, No"
Dining options: Dinner (serves_dinner),Yes/no,"Yes, No"
Dining options: Lunch (serves_lunch),Yes/no,"Yes, No"
Dining options: Outside food allowed (allows_outside_food),Yes/no,"Yes, No"
Dining options: Pay ahead (has_order_and_pay_ahead),Yes/no,"Yes, No"
Dining options: Seating (has_seating),Yes/no,"Yes, No"
Dining options: Table service (has_table_service),Yes/no,"Yes, No"
Emergency help: Accepts donations (accepts_donations_during_crisis),Yes/no,"Yes, No"
Emergency help: Employs displaced individuals (offers_employment_during_crisis),Yes/no,"Yes, No"
Emergency help: Needs volunteers (needs_volunteers_during_crisis),Yes/no,"Yes, No"
Emergency help: Offers accommodation for refugees (offers_refuge_during_crisis),Yes/no,"Yes, No"
Emergency help: Offers free legal help (offers_free_legal_help_during_crisis),Yes/no,"Yes, No"
Emergency help: Offers free products or services (offers_free_products_services_during_crisis),Yes/no,"Yes, No"
Emergency help: Offers transportation (offers_transportation_during_crisis),Yes/no,"Yes, No"
Exams: CAT (offers_cat_exam_prep),Yes/no,"Yes, No"
Exams: CBSE Board (offers_cbse_board_exam_prep),Yes/no,"Yes, No"
Exams: CTET (offers_ctet_exam_prep),Yes/no,"Yes, No"
Exams: Civil Services (offers_civil_services_exam_prep),Yes/no,"Yes, No"
Exams: GATE (offers_gate_exam_prep),Yes/no,"Yes, No"
Exams: IBPS Clerk (offers_ibps_clerk_exam_prep),Yes/no,"Yes, No"
Exams: IBPS RBB (offers_ibps_rrb_exam_prep),Yes/no,"Yes, No"
Exams: ICSE Board (offers_icse_board_exam_prep),Yes/no,"Yes, No"
Exams: JEE (offers_jee_exam_prep),Yes/no,"Yes, No"
